date;OPU
1982m10;8.0641
1982m11;61.9812
1982m12;21.8095
1983m1;115.6932
1983m2;158.6824
1983m3;159.9669
1983m4;67.6109
1983m5;149.5246
1983m6;87.3465
1983m7;47.483
1983m8;41.6226
1983m9;34.2155
1983m10;114.8241
1983m11;13.6633
1983m12;515.0831
1984m1;26.9817
1984m2;35.2258
1984m3;15.5706
1984m4;5.1226
1984m5;21.4476
1984m6;37.3976
1984m7;18.0677
1984m8;29.6955
1984m9;19.256
1984m10;78.4274
1984m11;22.7046
1984m12;53.8342
1985m1;135.9823
1985m2;68.6652
1985m3;40.5489
1985m4;61.882
1985m5;60.7613
1985m6;50.1751
1985m7;292.183
1985m8;57.887
1985m9;51.0928
1985m10;33.8514
1985m11;280.5355
1985m12;81.7527
1986m1;248.5017
1986m2;415.6897
1986m3;231.5581
1986m4;297.9479
1986m5;219.1585
1986m6;108.0951
1986m7;129.8244
1986m8;176.3049
1986m9;94.8708
1986m10;134.7143
1986m11;76.5214
1986m12;124.4222
1987m1;112.1229
1987m2;78.1964
1987m3;75.5722
1987m4;73.5711
1987m5;51.1064
1987m6;49.5875
1987m7;47.2728
1987m8;79.8689
1987m9;64.0736
1987m10;74.7871
1987m11;59.2977
1987m12;65.147
1988m1;80.1668
1988m2;62.8932
1988m3;58.0172
1988m4;263.947
1988m5;98.6957
1988m6;40.7643
1988m7;131.6895
1988m8;31.5263
1988m9;75.9367
1988m10;85.974
1988m11;121.5024
1988m12;40.869
1989m1;76.1834
1989m2;47.4358
1989m3;45.0786
1989m4;47.3199
1989m5;70.2859
1989m6;55.6068
1989m7;31.19
1989m8;22.9674
1989m9;63.1429
1989m10;129.4962
1989m11;49.3653
1989m12;42.0916
1990m1;71.2553
1990m2;22.7148
1990m3;32.1802
1990m4;42.9481
1990m5;25.6132
1990m6;12.1775
1990m7;51.1157
1990m8;500.8357
1990m9;213.6672
1990m10;337.5492
1990m11;171.4025
1990m12;138.1553
1991m1;420.5251
1991m2;156.0332
1991m3;189.4935
1991m4;50.1184
1991m5;40.1058
1991m6;39.563
1991m7;28.6033
1991m8;65.2676
1991m9;34.5549
1991m10;17.9749
1991m11;31.9765
1991m12;10.9804
1992m1;129.6473
1992m2;42.2048
1992m3;30.6183
1992m4;31.4176
1992m5;42.4278
1992m6;16.6814
1992m7;27.658
1992m8;18.023
1992m9;32.4198
1992m10;28.7777
1992m11;10.0279
1992m12;3.844
1993m1;32.2651
1993m2;17.0005
1993m3;23.5678
1993m4;10.6559
1993m5;27.9074
1993m6;7.6068
1993m7;39.5719
1993m8;17.4049
1993m9;14.4951
1993m10;10.3131
1993m11;72.3633
1993m12;67.1177
1994m1;12.7476
1994m2;45.5242
1994m3;32.5965
1994m4;19.4307
1994m5;37.9953
1994m6;48.3491
1994m7;35.8163
1994m8;35.2383
1994m9;16.3164
1994m10;57.3744
1994m11;20.193
1994m12;23.6306
1995m1;9.0001
1995m2;22.7724
1995m3;16.2319
1995m4;17.2925
1995m5;22.8148
1995m6;7.57
1995m7;7.3432
1995m8;30.9274
1995m9;21.7987
1995m10;26.7074
1995m11;21.0352
1995m12;10.0651
1996m1;11.0729
1996m2;24.3759
1996m3;39.4915
1996m4;20.4261
1996m5;52.2914
1996m6;58.7384
1996m7;43.9787
1996m8;21.7842
1996m9;20.8351
1996m10;18.4208
1996m11;15.1325
1996m12;56.1272
1997m1;27.2407
1997m2;23.3914
1997m3;9.2541
1997m4;19.4244
1997m5;14.4789
1997m6;11.5457
1997m7;20.1268
1997m8;53.1246
1997m9;5.8711
1997m10;16.5605
1997m11;20.1376
1997m12;18.2631
1998m1;18.9227
1998m2;28.9442
1998m3;45.3748
1998m4;29.7997
1998m5;25.1233
1998m6;31.5117
1998m7;17.1209
1998m8;26.8674
1998m9;35.9966
1998m10;54.8383
1998m11;30.451
1998m12;51.6428
1999m1;33.9614
1999m2;33.4167
1999m3;37.3031
1999m4;32.8272
1999m5;39.6999
1999m6;34.654
1999m7;37.6143
1999m8;64.5587
1999m9;42.0434
1999m10;37.9492
1999m11;50.4799
1999m12;24.246
2000m1;58.7503
2000m2;107.2438
2000m3;95.6406
2000m4;121.3542
2000m5;62.5299
2000m6;96.5879
2000m7;119.1967
2000m8;125.3213
2000m9;231.0102
2000m10;168.2223
2000m11;126.3467
2000m12;82.0036
2001m1;109.6498
2001m2;156.5423
2001m3;110.8478
2001m4;86.4977
2001m5;102.23
2001m6;66.5347
2001m7;129.6801
2001m8;75.1884
2001m9;121.9716
2001m10;53.6398
2001m11;104.1884
2001m12;78.9525
2002m1;88.7264
2002m2;81.9301
2002m3;87.3393
2002m4;213.5583
2002m5;61.2434
2002m6;46.1617
2002m7;42.9721
2002m8;26.7433
2002m9;125.223
2002m10;56.7999
2002m11;32.6867
2002m12;49.6199
2003m1;86.3724
2003m2;95.8681
2003m3;229.9765
2003m4;152.7605
2003m5;66.752
2003m6;39.376
2003m7;49.0995
2003m8;70.2035
2003m9;90.9538
2003m10;71.9558
2003m11;59.643
2003m12;35.8249
2004m1;42.1873
2004m2;34.5341
2004m3;107.0583
2004m4;117.3733
2004m5;227.4691
2004m6;233.2572
2004m7;114.0362
2004m8;365.1944
2004m9;211.8946
2004m10;319.3109
2004m11;257.4407
2004m12;174.1829
2005m1;110.7195
2005m2;134.3781
2005m3;172.6857
2005m4;226.6703
2005m5;143.2955
2005m6;174.6753
2005m7;184.7657
2005m8;287.3877
2005m9;370.692
2005m10;178.1534
2005m11;219.3028
2005m12;140.017
2006m1;146.5664
2006m2;127.6372
2006m3;85.2001
2006m4;210.7329
2006m5;173.5972
2006m6;125.1357
2006m7;115.3419
2006m8;278.9431
2006m9;172.2017
2006m10;197.3232
2006m11;169.344
2006m12;192.6651
2007m1;177.6443
2007m2;152.8351
2007m3;143.3046
2007m4;58.3419
2007m5;111.5507
2007m6;119.2202
2007m7;110.2871
2007m8;77.2868
2007m9;133.7265
2007m10;136.6687
2007m11;148.9075
2007m12;124.2649
2008m1;150.8214
2008m2;69.1482
2008m3;150.9012
2008m4;172.2604
2008m5;215.5171
2008m6;390.4342
2008m7;383.0582
2008m8;289.1963
2008m9;295.369
2008m10;242.3156
2008m11;290.3711
2008m12;272.0347
2009m1;237.8204
2009m2;134.2587
2009m3;133.6329
2009m4;111.7184
2009m5;92.5168
2009m6;146.3629
2009m7;179.5521
2009m8;132.383
2009m9;76.1615
2009m10;46.2974
2009m11;58.2188
2009m12;85.1944
2010m1;193.7707
2010m2;70.1329
2010m3;79.1085
2010m4;82.0189
2010m5;83.128
2010m6;116.4362
2010m7;84.1351
2010m8;56.6072
2010m9;108.008
2010m10;26.5303
2010m11;66.1337
2010m12;73.4331
2011m1;129.2714
2011m2;151.6131
2011m3;313.2345
2011m4;173.8534
2011m5;311.8176
2011m6;96.4936
2011m7;150.6328
2011m8;143.8079
2011m9;116.5149
2011m10;115.1747
2011m11;124.7553
2011m12;95.5796
2012m1;68.1387
2012m2;131.2128
2012m3;220.6997
2012m4;201.1193
2012m5;201.6908
2012m6;123.9387
2012m7;58.7709
2012m8;87.621
2012m9;68.1621
2012m10;70.0885
2012m11;73.4823
2012m12;58.9438
2013m1;58.6238
2013m2;72.7866
2013m3;167.4581
2013m4;110.2049
2013m5;72.3409
2013m6;79.8869
2013m7;113.2469
2013m8;26.2742
2013m9;52.8215
2013m10;82.8277
2013m11;45.5816
2013m12;57.4467
2014m1;40.2974
2014m2;52.5888
2014m3;104.7401
2014m4;29.6581
2014m5;38.0264
2014m6;93.9351
2014m7;69.9966
2014m8;69.0282
2014m9;57.0406
2014m10;125.6769
2014m11;128.2722
2014m12;387.0871
2015m1;352.4647
2015m2;208.9265
2015m3;151.4366
2015m4;125.6306
2015m5;141.2349
2015m6;47.8429
2015m7;128.4938
2015m8;175.7073
2015m9;184.1928
2015m10;117.5364
2015m11;108.9556
2015m12;101.6344
2016m1;320.3617
2016m2;216.2197
2016m3;136.7216
2016m4;163.3698
2016m5;180.2261
2016m6;126.7586
2016m7;42.9812
2016m8;83.6903
2016m9;25.0999
2016m10;101.5557
2016m11;125.8818
2016m12;83.8611
2017m1;67.437
2017m2;58.6262
2017m3;128.29
2017m4;54.2666
2017m5;81.178
2017m6;69.7548
2017m7;80.9172
2017m8;114.482
2017m9;19.861
2017m10;53.2955
2017m11;93.2493
2017m12;81.7873
2018m1;65.8435
2018m2;48.5643
2018m3;46.478
2018m4;105.1155
2018m5;110.0686
2018m6;98.8579
2018m7;76.1985
2018m8;94.542
2018m9;60.0902
2018m10;67.187
2018m11;117.96
2018m12;150.8608
2019m1;113.8342
2019m2;135.1352
2019m3;77.2828
2019m4;73.6636
2019m5;50.0467
2019m6;97.6475
2019m7;71.9695
2019m8;28.0639
2019m9;190.5473
2019m10;84.02
2019m11;70.3005
2019m12;100.789
