date;Oil_price;;;;;
1974 janvier;6,95;;;;;
1974 février;6,87;;;;;
1974 mars;6,77;;;;;
1974 avril;6,77;;;;;
1974 mai;6,87;;;;;
1974 juin;6,85;;;;;
1974 juillet;6,8;;;;;
1974 août;6,71;;;;;
1974 septembre;6,7;;;;;
1974 octobre;6,97;;;;;
1974 novembre;6,97;;;;;
1974 décembre;7,09;;;;;
1975 janvier;7,61;;;;;
1975 février;7,47;;;;;
1975 mars;7,57;;;;;
1975 avril;7,55;;;;;
1975 mai;7,52;;;;;
1975 juin;7,49;;;;;
1975 juillet;7,75;;;;;
1975 août;7,73;;;;;
1975 septembre;7,75;;;;;
1975 octobre;7,83;;;;;
1975 novembre;7,8;;;;;
1975 décembre;7,93;;;;;
1976 janvier;8,63;;;;;
1976 février;7,91;;;;;
1976 mars;7,78;;;;;
1976 avril;7,86;;;;;
1976 mai;7,89;;;;;
1976 juin;8;;;;;
1976 juillet;8,04;;;;;
1976 août;8,03;;;;;
1976 septembre;8,39;;;;;
1976 octobre;8,46;;;;;
1976 novembre;8,61;;;;;
1976 décembre;8,62;;;;;
1977 janvier;8,5;;;;;
1977 février;8,56;;;;;
1977 mars;8,45;;;;;
1977 avril;8,41;;;;;
1977 mai;8,49;;;;;
1977 juin;8,44;;;;;
1977 juillet;8,47;;;;;
1977 août;8,45;;;;;
1977 septembre;8,43;;;;;
1977 octobre;8,72;;;;;
1977 novembre;8,69;;;;;
1977 décembre;8,81;;;;;
1978 janvier;8,71;;;;;
1978 février;8,86;;;;;
1978 mars;8,8;;;;;
1978 avril;8,82;;;;;
1978 mai;8,81;;;;;
1978 juin;9,05;;;;;
1978 juillet;8,96;;;;;
1978 août;9,05;;;;;
1978 septembre;9,15;;;;;
1978 octobre;9,17;;;;;
1978 novembre;9,2;;;;;
1978 décembre;9,47;;;;;
1979 janvier;9,46;;;;;
1979 février;9,69;;;;;
1979 mars;9,83;;;;;
1979 avril;10,33;;;;;
1979 mai;10,71;;;;;
1979 juin;11,7;;;;;
1979 juillet;13,39;;;;;
1979 août;14;;;;;
1979 septembre;14,57;;;;;
1979 octobre;15,06;;;;;
1979 novembre;15,52;;;;;
1979 décembre;17;;;;;
1980 janvier;17,86;;;;;
1980 février;18,86;;;;;
1980 mars;19,33;;;;;
1980 avril;20,28;;;;;
1980 mai;21,05;;;;;
