Month;Oil_cons
1973 janvier;736,611
1973 février;702,139
1973 mars;736,417
1973 avril;654,33
1973 mai;764,146
1973 juin;750,518
1973 juillet;755,413
1973 août;840,962
1973 septembre;775,316
1973 octobre;794,5
1973 novembre;822,063
1973 décembre;718,4
1974 janvier;736,758
1974 février;657,388
1974 mars;669,719
1974 avril;678,747
1974 mai;691,727
1974 juin;734,141
1974 juillet;764,163
1974 août;777,463
1974 septembre;724,054
1974 octobre;782,256
1974 novembre;732,834
1974 décembre;690,44
1975 janvier;755,408
1975 février;598,807
1975 mars;664,661
1975 avril;612,276
1975 mai;617,643
1975 juin;636,473
1975 juillet;707,562
1975 août;672,49
1975 septembre;685,168
1975 octobre;750,692
1975 novembre;649,493
1975 décembre;741,407
1976 janvier;754,527
1976 février;694,489
1976 mars;715,018
1976 avril;674,318
1976 mai;712,318
1976 juin;710,508
1976 juillet;738,864
1976 août;772,974
1976 septembre;759,707
1976 octobre;787,45
1976 novembre;771,771
1976 décembre;861,26
1977 janvier;784,11
1977 février;808,154
1977 mars;798,181
1977 avril;749,122
1977 mai;764,65
1977 juin;818,467
1977 juillet;788,978
1977 août;849,151
1977 septembre;815,889
1977 octobre;860,591
1977 novembre;825,316
1977 décembre;842,181
1978 janvier;830,526
1978 février;788,865
1978 mars;806,878
1978 avril;777,082
1978 mai;836,216
1978 juin;805,371
1978 juillet;814,374
1978 août;836,967
1978 septembre;804,112
1978 octobre;850,537
1978 novembre;820,904
1978 décembre;818,351
1979 janvier;907,497
1979 février;844,558
1979 mars;921,088
1979 avril;787,399
1979 mai;877,523
1979 juin;859,994
1979 juillet;848,436
1979 août;914,651
1979 septembre;838,954
1979 octobre;925,966
1979 novembre;869,225
1979 décembre;905,57
1980 janvier;874,774
1980 février;792,327
1980 mars;821,477
1980 avril;765,188
1980 mai;776,051
1980 juin;757,41
1980 juillet;737,538
1980 août;724
1980 septembre;819,815
1980 octobre;825,328
1980 novembre;738,647
1980 décembre;831,391
1981 janvier;757,497
1981 février;650,421
1981 mars;703,782
1981 avril;651,563
1981 mai;710,326
1981 juin;690,585
1981 juillet;685,367
1981 août;686,878
1981 septembre;697,178
1981 octobre;684,022
1981 novembre;628,569
1981 décembre;670,003
1982 janvier;668,872
1982 février;604,027
1982 mars;635,719
1982 avril;645,325
1982 mai;639,279
1982 juin;631,857
1982 juillet;659,743
1982 août;700,294
1982 septembre;634,809
1982 octobre;667,948
1982 novembre;613,87
1982 décembre;616,904
1983 janvier;543,224
1983 février;511,469
1983 mars;584,791
1983 avril;554,278
1983 mai;609,733
1983 juin;622,893
1983 juillet;644,926
1983 août;669,009
1983 septembre;680,51
1983 octobre;649,575
1983 novembre;646,236
1983 décembre;617,775
1984 janvier;691,641
1984 février;612,68
1984 mars;672,019
1984 avril;644,282
1984 mai;682,545
1984 juin;655,24
1984 juillet;694,769
1984 août;708,717
1984 septembre;657,661
1984 octobre;704,4
1984 novembre;603,443
1984 décembre;598,616
1985 janvier;621,251
1985 février;574,439
1985 mars;604,323
1985 avril;614,694
1985 mai;670,773
1985 juin;660,312
1985 juillet;675,324
1985 août;697,457
1985 septembre;638,919
1985 octobre;687,405
1985 novembre;591,084
1985 décembre;620,138
1986 janvier;619,42
1986 février;571,897
1986 mars;648,834
1986 avril;618,664
1986 mai;678,453
1986 juin;663,255
1986 juillet;645,925
1986 août;686,547
1986 septembre;682,551
1986 octobre;709,388
1986 novembre;630,285
1986 décembre;656,893
1987 janvier;674,531
1987 février;607,41
1987 mars;600,503
1987 avril;655,366
1987 mai;646,291
1987 juin;699,62
1987 juillet;739,943
1987 août;685,371
1987 septembre;711,406
1987 octobre;701,638
1987 novembre;600,074
1987 décembre;673,802
1988 janvier;643,919
1988 février;646,865
1988 mars;706,65
1988 avril;621,845
1988 mai;670,461
1988 juin;683,667
1988 juillet;678,548
1988 août;756,064
1988 septembre;712,702
1988 octobre;753,45
1988 novembre;683,447
1988 décembre;710,095
1989 janvier;655,173
