date;Oil_cons
1949;3460,717
1950;3942,551
1951;4258,378
1952;4350,829
1953;4466,504
1954;4617,002
1955;5093,213
1956;5316,727
1957;5215,308
1958;5385,888
1959;5713,001
1960;5719,657
1961;5726,194
1962;5964,327
1963;6192,674
1964;6510,75
1965;6750,202
1966;7068,942
1967;7110,31
1968;7374,05
1969;7670,797
1970;7753,804
1971;7820,133
1972;8488,81
1973;9050,815
1974;8639,689
1975;8092,081
1976;8953,201
1977;9704,791
1978;9790,185
1979;10500,861
1980;9463,945
1981;8216,259
1982;7718,66
1983;7334,398
1984;7926,004
1985;7656,103
1986;7812,101
1987;7995,98
1988;8267,692
1989;8052,761
1990;8199,796
1991;7901,384
1992;8495,152
1993;8327,16
1994;8713,402
1995;8525,152
1996;8952,941
1997;9189,652
1998;9019,255
1999;9285,119
2000;8999,46
2001;9110,098
2002;9095,67
2003;9164,38
2004;9753,493
2005;9566,674
2006;9693,044
2007;9362,626
2008;8502,369
2009;7720,104
2010;8082,76
2011;8054,633
2012;8065,552
2013;8260,455
2014;8020,67
2015;8135,047
2016;8242,546
2017;8427,269
2018;8747,078
2019;8784,576
2020;8475,897
2021;8884,902
2022;8455,383
2023;8531,602
