"year","Co2","temp_sn","pop_tot","pop_urb","pop_rur","Fbcf","forest_rent","terre_agri","LCo2","Lpop_tot","Lpop_urb","Lpop_rur"
1970,1307067,0.557,4367744,1310323,3057421,9.54329231600746,1.4609198354403,46.0395782475458,14.0832962537255,15.2897571866307,14.0857842296707,14.9330823081066
1971,1351035,-0.036,4498616,1381975,3116641,10.1853891019399,1.29366523212848,46.4654858983016,14.1163815233425,15.3192803518801,14.1390241934211,14.9522663772687
1972,1453241,0.38,4633452,1457267,3176185,10.3356143344955,1.26613919594832,46.4654858983016,14.1893067925288,15.3488127206156,14.1920733216486,14.971191349023
1973,1548683,0.713,4772039,1536072,3235967,10.7444754665048,1.79572967422626,46.7251856853477,14.2529154502956,15.3782842348405,14.2447390665912,14.9898383593335
1974,1848983,-0.432,4911421,1617675,3293746,12.1861122747438,1.85093382540753,46.9848854723939,14.430146316168,15.4070738672685,14.2965004911587,15.0075360768498
1975,2578000,-0.235,5047922,1700796,3347126,11.1799594410999,1.79992254002127,46.9848854723939,14.7625244624813,15.4344872314198,14.3466069347326,15.0236126251377
1976,1769696,-0.063,5181195,1780880,3400315,10.3319502171583,1.66862440643334,46.979691476653,14.3863183383866,15.4605462826104,14.3926181821242,15.0393786323537
1977,2237336,0.552,5308297,1842935,3465362,9.94824802437044,2.70482265754007,45.9356983327274,14.6207964303555,15.484781626147,14.4268699674462,15.0583276584537
1978,2619597,0.506,5433225,1905269,3527956,10.475576849936,2.58716368914625,45.9305043369864,14.7785310471124,15.5080434382598,14.4601337639232,15.0762292243757
1979,2888139,0.809,5564474,1970770,3593704,11.2763838621152,2.08953181645031,45.9253103412455,14.8761229080305,15.5319130189074,14.4939348872913,15.0946939834459
1980,3336441,0.943,5703869,2040217,3663652,11.9962958995098,2.29780523824108,45.9201163455046,15.0204152279685,15.5566552744731,14.5285667327123,15.1139710220995
1981,3279857,0.767,5852029,2113870,3738159,12.7337450766716,2.21057860336628,45.9149223497637,15.0033103818489,15.5822989966806,14.5640309487248,15.1341038022086
1982,3036573,0.339,6008392,2191621,3816771,16.8371747041627,2.98292454660816,45.9097283540227,14.9262401348673,15.6086677166359,14.600152010641,15.1549153351673
1983,2611411,1.25,6171874,2273225,3898649,16.9800999555589,2.34597905415603,45.9045343582818,14.7754012462471,15.6355130774804,14.6367100860571,15.1761406408296
1984,3284168,0.661,6341801,2358579,3983222,16.4708770266329,2.212157701551,45.8993403625409,15.0046239053714,15.662673355474,14.6735698770115,15.1976015974923
1985,2650504,0.526,6520705,2448460,4072245,15.2686166795207,1.60715177403616,45.8941463668,14.7902603685581,15.6904930568917,14.7109698134585,15.2197050023966
1986,2636446,0.483,6710885,2544029,4166856,11.0797002765633,1.77754939301293,45.8837583753181,14.7849423560437,15.7192413929483,14.7492596027482,15.2426723525721
1987,2424574,1.022,6909837,2644464,4265373,12.4189043706086,1.47075681712428,45.8733703838363,14.7011663968188,15.7484566064642,14.7879789562361,15.2660401911214
1988,2710809,0.874,7113636,2746788,4366848,13.8761472167194,1.60385896647614,45.8629823923544,14.8127576722917,15.777524063468,14.8259427869991,15.2895520253586
1989,3661877,0.575,7321832,2837576,4484256,13.635120100554,1.69516298378659,45.8474004051317,15.1134864154493,15.8063711278484,14.8584607245541,15.3160831534268
1990,3138804,1.193,7536001,2931203,4604798,14.5972584845911,1.8735137705611,46.0655482262504,14.959352393607,15.8352022279347,14.890923476933,15.3426093613457
1991,3379206,0.8,7754289,3027119,4727170,14.6927405145281,1.86292937315199,45.2345089077027,15.0331513286206,15.8637566676044,14.9231219000821,15.368837272742
1992,3422666,0.875,7974514,3124415,4850099,15.3394151148933,1.79922250872298,45.6032826053083,15.0459303375251,15.8917612643394,14.9547576236285,15.3945096750765
1993,3538709,1.097,8196551,3222966,4973585,14.6596389049948,1.71229207168923,45.8006544434634,15.0792725293291,15.9192240139973,14.9858126115641,15.4196514660086
1994,3836950,0.634,8416997,3321684,5095313,17.1399920981717,2.85451586705768,46.3044720303329,15.1601883381304,15.9457636717721,15.0159824412112,15.4438316555293
1995,3430121,0.938,8632681,3419060,5213621,15.2995419739429,3.17141285205529,45.7850724562406,15.0481060954878,15.9710656753013,15.0448762174584,15.4667851819192
1996,3664147,1.219,8843423,3515172,5328251,16.3904751259118,3.00888977508268,46.2629200644055,15.1141061240587,15.9951845768592,15.0725990151734,15.4885335997023
1997,3182368,1.37,9051539,3610749,5440790,15.8480598951591,3.04303713996853,44.8137952526879,14.9731361317271,16.018445356467,15.0994257880126,15.5094348288769
1998,3333565,1.574,9261526,3707759,5553767,18.7449802067005,2.9312687610951,43.5776242663481,15.0195528598752,16.0413793878616,15.1259382089494,15.5299869942224
1999,3603593,0.581,9478564,3808203,5670361,18.2880250024253,2.09784010095489,47.3276891912949,15.0974419612556,16.0645433859642,15.1526679822961,15.5507633421075
2000,3902052,0.918,9704287,3912769,5791518,19.2253255567794,2.28823224800292,46.8861995533164,15.1770131265756,16.0880783046015,15.1797558654607,15.5719049913528
2001,4258100,1.168,9938027,4021323,5916704,18.9542217193381,2.0423216013611,45.7019685243858,15.2643336093641,16.1118790679851,15.2071215109298,15.5932900950568
2002,4436925,1.425,10180950,4134178,6046772,20.4321036574164,2.26762698566443,45.4474627330806,15.3054721269051,16.1360288849683,15.2347990758683,15.6150351338976
2003,4927512,1.15,10434504,4267503,6167001,17.4102276457347,2.67173545308465,44.8345712356516,15.4103447533181,16.1606285650207,15.2665394366382,15.634723216127
2004,5238223,1.157,10698691,4419201,6279490,17.4976895109659,1.92610162962155,45.1202410014024,15.4714928766449,16.1856319554998,15.3014694684824,15.6527993249556
2005,5538919,1.366,10974057,4577718,6396339,18.2940175082513,1.91529798187365,45.5825066223446,15.5273099133301,16.2110445906827,15.3367111786458,15.6712363534076
2006,4422390,1.37,11263387,4744589,6518798,21.2140610383753,1.88914740077428,44.0970238404404,15.3021908318972,16.2370679347343,15.3725153687826,15.690200561079
