"year","temp_sn","pop_growth","forest_rent","terre_agri","LCo2","temp_sn_pos","temp_sn_neg","pop_growth_pos","pop_growth_neg","terre_agri_pos","terre_agri_neg","LCo2_pos","LCo2_neg"
1970,0.557,2.94807856024493,1.4609198354403,46.0395782475458,0.607754135408285,0,0,0,0,0,0,0,0
1971,-0.036,2.95231652493326,1.29366523212848,46.4654858983016,0.591040540519282,0,-0.593,0.00423796468832993,0,0.425907650755804,0,0,-0.0167135948890025
1972,0.38,2.95323687355495,1.26613919594832,46.4654858983016,0.527682595677913,0.416,0,0.000920348621689993,0,0,0,0,-0.063357944841369
1973,0.713,2.94715142248462,1.79572967422626,46.7251856853477,0.477693121397311,0.333,0,0,-0.00608545107033009,0.259699787046095,0,0,-0.0499894742806029
1974,-0.432,2.87896324280468,1.85093382540753,46.9848854723939,0.4855129372693,0,-1.145,0,-0.06818817967994,0.259699787046202,0,0.00781981587198927,0
1975,-0.235,2.74133641512569,1.79992254002127,46.9848854723939,0.495868208317723,0.197,0,0,-0.13762682767899,0,0,0.0103552710484229,0
1976,-0.063,2.6059051190583,1.66862440643334,46.979691476653,0.4919079218052,0.172,0,0,-0.13543129606739,0,-0.00519399574089618,0,-0.00396028651252295
1977,0.552,2.42353435366142,2.70482265754007,45.9356983327274,0.487328254537953,0.615,0,0,-0.18237076539688,0,-1.0439931439256,0,-0.0045796672672469
1978,0.506,2.3261812112817,2.58716368914625,45.9305043369864,0.48714984559719,0,-0.046,0,-0.0973531423797196,0,-0.00519399574099566,0,-0.000178408940762986
1979,0.809,2.38695806475924,2.08953181645031,45.9253103412455,0.474915819622346,0.303,0,0.0607768534775399,0,0,-0.00519399574090329,0,-0.012234025974844
1980,0.943,2.47422555657384,2.29780523824108,45.9201163455046,0.415894237853857,0.134,0,0.0872674918145999,0,0,-0.00519399574089618,0,-0.0590215817684894
1981,0.767,2.56437222074908,2.21057860336628,45.9149223497637,0.402722300052361,0,-0.176,0.09014666417524,0,0,-0.00519399574090329,0,-0.0131719378014955
1982,0.339,2.63687199552555,2.98292454660816,45.9097283540227,0.389122971278795,0,-0.428,0.0724997747764702,0,0,-0.00519399574100277,0,-0.0135993287735658
1983,1.25,2.68453608445209,2.34597905415603,45.9045343582818,0.328708522052166,0.911,0,0.0476640889265396,0,0,-0.00519399574089618,0,-0.0604144492266291
1984,0.661,2.71602779935722,2.212157701551,45.8993403625409,0.326281251161125,0,-0.589,0.0314917149051301,0,0,-0.00519399574090329,0,-0.0024272708910415
1985,0.526,2.78197014177237,1.60715177403616,45.8941463668,0.354752292252375,0,-0.135,0.0659423424151502,0,0,-0.00519399574089618,0.0284710410912506,0
1986,0.483,2.87483360565634,1.77754939301293,45.8837583753181,0.35418110729832,0,-0.043,0.0928634638839698,0,0,-0.010387991481899,0,-0.000571184954055504
1987,1.022,2.92152135159267,1.47075681712428,45.8733703838363,0.361485897737754,0.539,0,0.04668774593633,0,0,-0.0103879914817995,0.00730479043943411,0
1988,0.874,2.90674570037734,1.60385896647614,45.8629823923544,0.333899377722303,0,-0.148,0,-0.0147756512153299,0,-0.0103879914819061,0,-0.0275865200154504
1989,0.575,2.88470643804651,1.69516298378659,45.8474004051317,0.334014251083965,0,-0.299,0,-0.0220392623308299,0,-0.0155819872226957,0.000114873361661605,0
1990,1.193,2.88311000862987,1.8735137705611,46.0655482262504,0.328029299361331,0.618,0,0,-0.00159642941664018,0.218147821118698,0,0,-0.00598495172263402
1991,0.8,2.85544396696351,1.86292937315199,45.2345089077027,0.3206322140878,0,-0.393,0,-0.0276660416663601,0,-0.831039318547703,0,-0.007397085273531
1992,0.875,2.80045967350139,1.79922250872298,45.6032826053083,0.328593096647695,0.075,0,0,-0.0549842934621201,0.368773697605604,0,0.0079608825598953,0
1993,1.097,2.74627496579219,1.71229207168923,45.8006544434634,0.319273462813326,0.222,0,0,-0.0541847077091999,0.1973718381551,0,0,-0.00931963383436968
1994,0.634,2.65396577748329,2.85451586705768,46.3044720303329,0.321553387233273,0,-0.463,0,-0.0923091883088998,0.503817586869502,0,0.00227992441994751,0
1995,0.938,2.53020035291858,3.17141285205529,45.7850724562406,0.318526485812131,0.304,0,0,-0.12376542456471,0,-0.519399574092304,0,-0.0030269014211417
1996,1.219,2.41189015578578,3.00888977508268,46.2629200644055,0.339376375459945,0.281,0,0,-0.1183101971328,0.4778476081649,0,0.0208498896478139,0
1997,1.37,2.32607796078074,3.04303713996853,44.8137952526879,0.350175522546772,0.151,0,0,-0.0858121950050399,0,-1.4491248117176,0.0107991470868267,0
1998,1.574,2.29340313946298,2.9312687610951,43.5776242663481,0.370840043127975,0.204,0,0,-0.0326748213177601,0,-1.2361709863398,0.0206645205812029,0
1999,0.581,2.31639981025849,2.09784010095489,47.3276891912949,0.420359701411419,0,-0.993,0.0229966707955103,0,3.7500649249468,0,0.0495196582834443,0
